Gelechiidae species name,GBIF taxonKey,Host Plants
Acanthophila bimaculata (Liu & Qian),12177642,Cunninghamia lanceolata
Acompsia antirrhinella MilliÃƒÂ¨re,1852185,Antirrhinum asarina
Acompsia tripunctella Denis & Schiff.,,Antirrhinum majus; Plantago
Agnippe biscolorella Chambers,1847975,Gleditsia
Agnippe evippeella Busck,11775947,Aeschynomene americana
Altenia scriptella Hubner,4527972,Acer campestre
Amblypalpis,,Tamarix
Amblypalpis olivierella Ragonot,1851199,Tamarix; Tamarix aphylla; Tamarix dioica
Amblypalpis tamaricella Danilevsky,1851200,Tamarix
Anacampsis,,Rhus
Anacampsis agrimoniella Clemens,1848274,Agrimonia; Agrimonia eupatoria; Agrimonia gryposepala
Anacampsis argyrothamniella Busck,1848365,Argythamnia blodgettii
Anacampsis blattariella Hubner,1848356,Betula
Anacampsis cornifer Walsingham,1848344,Croton flavens
Anacampsis fragariella Busck,1848279,Fragaria
Anacampsis hirsutella Constant,1848333,Dorycnium hirsutum
Anacampsis humilis Hodges,1848296,Trifolium repens
Anacampsis innocuella Zeller,1848278,Alnus; Betula papyrifera; Populus; Populus alba; Populus balsamifera; Populus grandidentata; Populus nigra; Populus tremuloides; Populus x canadensis; Prunus virginiana; Salix
Anacampsis insularis Walsingham,1848262,Hibiscus rosa-sinensis
Anacampsis karmeliella Amsel,1848254,Crataegus
Anacampsis lacteusochrella Chambers,1848350,Croton californicus
Anacampsis lagunculariella Busck,1848331,Laguncularia racemosa
Anacampsis lupinella Busck,1848260,Lupinus; Lupinus perennis
Anacampsis meibomiella Forbes,1848348,Desmodium tortuosum; Phaseolus lunatus
Anacampsis mongolicae Park,1848329,Quercus cerris; Quercus mongolica
Anacampsis niveopulvella Chambers,1848312,Acer negundo; Alnus; Populus; Populus alba; Populus balsamifera; Populus balsamifera trichocarpa; Populus grandidentata; Populus tremuloides; Quercus garryana; Salix
Anacampsis nonstrigella Busck,1848293,Aster
Anacampsis obscurella Denis & Schiff.,,Prunus
Anacampsis okui Park,1848268,Quercus acutissima; Quercus serrata; Quercus variabilis
Anacampsis populella Clerck,1848273,Betula; Betula alba; Betula pubescens; Populus; Populus tremula; Salix; Salix repens
Anacampsis quercella ChrÃ©tien,,Quercus
Anacampsis rhoifructella Clemens,1848343,Populus; Rhus; Rhus typhina; Viburnum; Viburnum dentatum
Anacampsis rivalis Meyrick,1848307,Terminalia bellirica
Anacampsis sacramenta Keifer,1848297,Salix hindsiana; Salix sessilifolia
Anacampsis scintillella Fischer v. RÃ¶sl.,,Helianthemum
Anacampsis temerella Lienig & Zeller,1848314,Salix; Salix repens
Anacampsis trifoliella Constant,1848330,Trifolium repens
Anacampsis tristrigella Walsingham,1848322,Corylus; Corylus americana; Ostrya virginiana
Anarsia,,Aegiceras corniculatum; Albizia saman; Dichrostachys cinerea; Dimocarpus longan; Duabanga moluccana; Litchi chinensis; Macadamia; Mangifera indica; Manilkara zapota; Paraserianthes falcataria; Prosopis farcta
Anarsia acaciae Walsingham,1847594,Acacia; Acacia nilotica; Acacia xanthophloea
Anarsia acerata Meyrick,1847675,Cajanus cajan; Cassia fistula
Anarsia aleurodes Meyrick,1847664,Populus
Anarsia altercata Meyrick,1847649,Sesbania
Anarsia amegarta Meyrick,1847619,Albizia
Anarsia arachniota Meyrick,1847654,Acacia nilotica; Tamarix
Anarsia bimaculata Ponomarenko,11702662,Maackia amurensis
Anarsia bipinnata Meyrick,1847629,Acer ginnala; Ageratum houstonianum; Elaeagnus umbellata; Quercus
Anarsia citromitra Meyrick,1847665,Acacia nilotica
Anarsia didymopa Meyrick,1847620,Capparis zeylanica
Anarsia dryinopa Lower,1847607,Acacia dodonaeifolia
Anarsia eleagnella Kuznetsov,1847671,Elaeagnus; Hippophae
Anarsia ephippias Meyrick,1847655,Acacia; Arachis hypogaea; Caesalpinia; Cajanus; Cajanus cajan; Glycine max; Indigofera; Mangifera indica; Mimosa rubicaulis; Phaseolus; Vigna aconitifolia; Vigna mungo; Vigna radiata; Vigna unguiculata cylindrica
Anarsia epotias Meyrick,1847626,Anacardium occidentale; Cinnamomum; Mangifera indica; Tamarix
Anarsia eutacta Meyrick,1847677,Loranthus
Anarsia guiera Bradley,1847603,Guiera senegalensis
Anarsia halimodendri Christoph,1847680,Ammodendron eichwaldii
Anarsia idioptila Meyrick,1847651,Cassia fistula
Anarsia isogona Meyrick,1847621,Schima
Anarsia lineatella Zeller,1847640,Acer tataricum; Fragaria; Malus; Mangifera indica; Prunus; Prunus armeniaca; Prunus domestica; Prunus dulcis; Prunus persica; Prunus spinosa
Anarsia melanchropa Meyrick,1847667,Acacia gageana; Acacia sinuata
Anarsia molybdota Meyrick,1847622,Acacia decurrens
Anarsia nigricana Park,11761243,Glycine max
Anarsia nr. acaciae Walsingham,,Acacia tortilis
Anarsia nr. reciproca Meyrick,,Acacia nilotica
Anarsia omoptila Meyrick,1847657,Cajanus cajan
Anarsia patulella Walker,1847641,Coriaria nepalensis; Eugenia aquea; Nephelium; Prunus salicina; Tamarindus; Xylocarpus
Anarsia protensa Park,6133371,Elaeagnus pungens
Anarsia reciproca Meyrick,1847632,Acacia catechu; Acacia farnesiana; Acacia nilotica
Anarsia retamella ChrÃ©tien,,Retama raetam
Anarsia sagittaria Meyrick,1847604,Ziziphus mauritiana
Anarsia sagmatica Meyrick,1847682,Dendrophthoe glabrescens; Loranthus
Anarsia sp.,,Acacia stenocarpa
Anarsia spartiella Schrank,,Cytisus; Cytisus scoparius; Genista; Genista tinctoria; Lembotropis nigricans; Ulex
Anarsia triaenota Meyrick,1847633,Acacia farnesiana; Acacia nilotica
Anarsia trichodeta Meyrick,1847618,Acacia
Anarsia tricornis Meyrick,1847605,Trema amboinensis
Anarsia triglypta Meyrick,1847683,Acacia catechu
Anarsia veruta Meyrick,1847624,Pithecellobium dulce
