Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Abelmoschus,Helcystogramma hibisci  Stainton,genus,accepted,"https://www.catalogueoflife.org/data/taxon/LLZ",3152705
Abelmoschus esculentus,Helcystogramma hibisci  Stainton; Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/8JZL",3152707
Abelmoschus moschatus,Chionodes hibiscella  Busck; Helcystogramma hibisci  Stainton; Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/8K24",8312665
Abies,Coleotechnites granti  Freeman; Coleotechnites obliquistrigella  Chambers; Coleotechnites piceaella  Kearfott,genus,accepted,"https://www.catalogueoflife.org/data/taxon/627WF",2684876
Abies balsamea,Coleotechnites atrupictella  Dietz,species,accepted,"https://www.catalogueoflife.org/data/taxon/63Z6Q",
Abies concolor,Chionodes abella  Busck; Coleotechnites,species,accepted,"https://www.catalogueoflife.org/data/taxon/8KBM",2685580
Abies grandis,Coleotechnites atrupictella  Dietz; Coleotechnites granti  Freeman,species,accepted,"https://www.catalogueoflife.org/data/taxon/8KCY",2685361
Abies lasiocarpa,Coleotechnites atrupictella  Dietz,species,accepted,"https://www.catalogueoflife.org/data/taxon/8KDX",
Abutilon,Chionodes mariona  Heinrich; Pectinophora gossypiella  Saunders,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8ZYJK",3152599
Abutilon megapotamicum,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/PM5Q",3937501
Abutilon pictum,Pectinophora gossypiella  Saunders,species,,"https://www.catalogueoflife.org/data/taxon/8N9L",
Abutilon tiubae,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/3KZ4L",7278938
Acacia,Anarsia acaciae  Walsingham; Anarsia ephippias  Meyrick; Anarsia trichodeta  Meyrick; Friseria acaciella  Busck; Macrenches clerica  Rosenstock; Mesophleps crocina  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9JGMZ",2978223
Acacia catechu,Anarsia reciproca  Meyrick; Anarsia triglypta  Meyrick; Bucolarcha geodes  Meyrick; Polyhymno alcimacha  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/BSJL2",
Acacia cowleana,Mesophleps,species,accepted,"https://www.catalogueoflife.org/data/taxon/BSJNC",2978657
Acacia decurrens,Anarsia molybdota  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/8P4M",
Acacia dodonaeifolia,Anarsia dryinopa  Lower,species,accepted,"https://www.catalogueoflife.org/data/taxon/BSJRG",2979547
Acacia farnesiana,Anarsia reciproca  Meyrick; Anarsia triaenota  Meyrick; Aristotelia corallina  Walsingham; Aristotelia sp.  ; Filatima monotaeniella  Bottimer; Mesophleps   ; Polyhymno acaciella  Busck; Polyhymno luteostrigella  Chambers,species,,"https://www.catalogueoflife.org/data/taxon/BSG28",
Acacia gageana,Anarsia melanchropa  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/BSRSS",
Acacia nilotica,Anarsia acaciae  Walsingham; Anarsia arachniota  Meyrick; Anarsia citromitra  Meyrick; Anarsia nr. reciproca  Meyrick; Anarsia reciproca  Meyrick; Anarsia triaenota  Meyrick; Brachmia?   ; Dichomeris eridantis  Meyrick; Hypatima   ; Recurvaria chalybeichroa  Walsingham,species,,"https://www.catalogueoflife.org/data/taxon/BSK89",
Acacia sinuata,Anarsia melanchropa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/BSPYN",5386
Acacia stenocarpa,Anarsia sp.,species,ambiguous synonym,"https://www.catalogueoflife.org/data/taxon/9CN8H",
Acacia tomentosa,Hypatima melanocharis  Meyrick; Polyhymno chionarcha  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/8Q6V",
Acacia tortilis,Anarsia nr. acaciae  Walsingham; Mesophleps,species,,"https://www.catalogueoflife.org/data/taxon/9JPXZ",
Acacia xanthophloea,Anarsia acaciae  Walsingham,species,synonym,"https://www.catalogueoflife.org/data/taxon/BSS3Y",
Acalypha boehmerioides,Dichomeris chlanidota  Meyrick,species,synonym,"https://www.catalogueoflife.org/data/taxon/8RR8",
Acamptopappus sphaerocephalus,Gnorimoschema octomaculella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/8SRB",
Acanthus arboreus,Mometa zemiodes  Durrant; Platyedra sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/92RT",5574054
Acer,Dichomeris ustalella  Fabricius; Faristenia acerella  Ponomarenko; Faristenia geminisignella  Ponomarenko; Gelechia sestertiella  Herrich-SchÃ¤ffer,genus,accepted,"https://www.catalogueoflife.org/data/taxon/MLD",3189834
Acer campestre,Altenia scriptella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/946Z",
Acer ginnala,Anarsia bipinnata  Meyrick; Faristenia acerella  Ponomarenko,species,synonym,"https://www.catalogueoflife.org/data/taxon/949V",
Acer mono,Gelechia albomaculata  Omelko,species,accepted,"https://www.catalogueoflife.org/data/taxon/B8867",7262966
Acer negundo,Anacampsis niveopulvella  Chambers; Chionodes negundella  Heinrich,species,accepted,"https://www.catalogueoflife.org/data/taxon/94F5",
Acer pseudoplatanus,Gelechia desiliens  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/94HF",3189870
Acer saccharum,Dichomeris ligulella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/94JK",
Acer tataricum,Anarsia lineatella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/94L9",3189843
Acer tataricum ginnala,,species,synonym,"https://www.catalogueoflife.org/data/taxon/5FD3V",
Acer ukurunduense,Gelechia fuscooculata  Omelko,species,accepted,"https://www.catalogueoflife.org/data/taxon/94MK",
Achillea ptarmica,Isophrictis striatella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/97JY",
