Host full name,Gelechiidae species name,Rank,COL status,COL taxon page
Abelmoschus,Helcystogramma hibisci  Stainton,genus,accepted,https://www.catalogueoflife.org/data/taxon/LLZ
Abelmoschus esculentus,Helcystogramma hibisci  Stainton; Pectinophora gossypiella  Saunders,species,accepted,https://www.catalogueoflife.org/data/taxon/8JZL
Abelmoschus moschatus,Chionodes hibiscella  Busck; Helcystogramma hibisci  Stainton; Pectinophora gossypiella  Saunders,species,accepted,https://www.catalogueoflife.org/data/taxon/8K24
Abies,Coleotechnites granti  Freeman; Coleotechnites obliquistrigella  Chambers; Coleotechnites piceaella  Kearfott,genus,accepted,https://www.catalogueoflife.org/data/taxon/627WF
Abies balsamea,Coleotechnites atrupictella  Dietz,species,accepted,https://www.catalogueoflife.org/data/taxon/63Z6Q
Abies concolor,Chionodes abella  Busck; Coleotechnites   ,species,accepted,https://www.catalogueoflife.org/data/taxon/8KBM
Abies grandis,Coleotechnites atrupictella  Dietz; Coleotechnites granti  Freeman,species,accepted,https://www.catalogueoflife.org/data/taxon/8KCY
Abies lasiocarpa,Coleotechnites atrupictella  Dietz,species,accepted,https://www.catalogueoflife.org/data/taxon/8KDX
Abutilon,Chionodes mariona  Heinrich; Pectinophora gossypiella  Saunders,genus,accepted,https://www.catalogueoflife.org/data/taxon/8ZYJK
Abutilon megapotamicum,Pectinophora gossypiella  Saunders,species,accepted,https://www.catalogueoflife.org/data/taxon/PM5Q
Abutilon pictum,Pectinophora gossypiella  Saunders,species,,https://www.catalogueoflife.org/data/taxon/8N9L
Abutilon tiubae,Pectinophora gossypiella  Saunders,species,accepted,https://www.catalogueoflife.org/data/taxon/3KZ4L
Acacia,Anarsia acaciae  Walsingham; Anarsia ephippias  Meyrick; Anarsia trichodeta  Meyrick; Friseria acaciella  Busck; Macrenches clerica  Rosenstock; Mesophleps crocina  Meyrick,genus,accepted,https://www.catalogueoflife.org/data/taxon/9JGMZ
Acacia catechu,Anarsia reciproca  Meyrick; Anarsia triglypta  Meyrick; Bucolarcha geodes  Meyrick; Polyhymno alcimacha  Meyrick,species,,https://www.catalogueoflife.org/data/taxon/BSJL2
Acacia cowleana,Mesophleps   ,species,accepted,https://www.catalogueoflife.org/data/taxon/BSJNC
Acacia decurrens,Anarsia molybdota  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/8P4M
Acacia dodonaeifolia,Anarsia dryinopa  Lower,species,accepted,https://www.catalogueoflife.org/data/taxon/BSJRG
Acacia farnesiana,Anarsia reciproca  Meyrick; Anarsia triaenota  Meyrick; Aristotelia corallina  Walsingham; Aristotelia sp.  ; Filatima monotaeniella  Bottimer; Mesophleps   ; Polyhymno acaciella  Busck; Polyhymno luteostrigella  Chambers,species,,https://www.catalogueoflife.org/data/taxon/BSG28
Acacia gageana,Anarsia melanchropa  Meyrick,species,,https://www.catalogueoflife.org/data/taxon/BSRSS
Acacia nilotica,Anarsia acaciae  Walsingham; Anarsia arachniota  Meyrick; Anarsia citromitra  Meyrick; Anarsia nr. reciproca  Meyrick; Anarsia reciproca  Meyrick; Anarsia triaenota  Meyrick; Brachmia?   ; Dichomeris eridantis  Meyrick; Hypatima   ; Recurvaria chalybeichroa  Walsingham,species,,https://www.catalogueoflife.org/data/taxon/BSK89
Acacia sinuata,Anarsia melanchropa  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/BSPYN
Acacia stenocarpa,Anarsia sp.  ,species,ambiguous synonym,https://www.catalogueoflife.org/data/taxon/9CN8H
Acacia tomentosa,Hypatima melanocharis  Meyrick; Polyhymno chionarcha  Meyrick,species,,https://www.catalogueoflife.org/data/taxon/8Q6V
Acacia tortilis,Anarsia nr. acaciae  Walsingham; Mesophleps   ,species,,https://www.catalogueoflife.org/data/taxon/9JPXZ
Acacia xanthophloea,Anarsia acaciae  Walsingham,species,synonym,https://www.catalogueoflife.org/data/taxon/BSS3Y
Acalypha boehmerioides,Dichomeris chlanidota  Meyrick,species,synonym,https://www.catalogueoflife.org/data/taxon/8RR8
Acamptopappus sphaerocephalus,Gnorimoschema octomaculella  Chambers,species,accepted,https://www.catalogueoflife.org/data/taxon/8SRB
Acanthus arboreus,Mometa zemiodes  Durrant; Platyedra sp.  ,species,accepted,https://www.catalogueoflife.org/data/taxon/92RT
Acer,Dichomeris ustalella  Fabricius; Faristenia acerella  Ponomarenko; Faristenia geminisignella  Ponomarenko; Gelechia sestertiella  Herrich-SchÃ¤ffer,genus,accepted,https://www.catalogueoflife.org/data/taxon/MLD
Acer campestre,Altenia scriptella  Hubner,species,accepted,https://www.catalogueoflife.org/data/taxon/946Z
Acer ginnala,Anarsia bipinnata  Meyrick; Faristenia acerella  Ponomarenko,species,synonym,https://www.catalogueoflife.org/data/taxon/949V
Acer mono,Gelechia albomaculata  Omelko,species,accepted,https://www.catalogueoflife.org/data/taxon/B8867
Acer negundo,Anacampsis niveopulvella  Chambers; Chionodes negundella  Heinrich,species,accepted,https://www.catalogueoflife.org/data/taxon/94F5
Acer pseudoplatanus,Gelechia desiliens  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/94HF
Acer saccharum,Dichomeris ligulella  Hubner,species,accepted,https://www.catalogueoflife.org/data/taxon/94JK
Acer tataricum,Anarsia lineatella  Zeller,species,accepted,https://www.catalogueoflife.org/data/taxon/94L9
Acer tataricum ginnala,,species,synonym,https://www.catalogueoflife.org/data/taxon/5FD3V
Acer ukurunduense,Gelechia fuscooculata  Omelko,species,accepted,https://www.catalogueoflife.org/data/taxon/94MK
Achillea ptarmica,Isophrictis striatella  Denis & Schiff.,species,accepted,https://www.catalogueoflife.org/data/taxon/97JY
Acronychia,Dichomeris capnites  Meyrick,genus,accepted,https://www.catalogueoflife.org/data/taxon/NG2
Adenocarpus hispanicus,Mirificarma cabezella  ChrÃ©tien,species,accepted,https://www.catalogueoflife.org/data/taxon/9ZFT
Adenocarpus viscosus,Stomopteryx adenocarpella  Hering,species,accepted,https://www.catalogueoflife.org/data/taxon/9ZG6
Adenostoma fasciculatum,Aristotelia adenostomae  Keifer; Aristotelia eldorada  Keifer; Aroga eldorada  Keifer,species,accepted,https://www.catalogueoflife.org/data/taxon/652F2
Aegiceras corniculatum,Anarsia   ,species,accepted,https://www.catalogueoflife.org/data/taxon/659BB
Aeschynomene americana,Agnippe evippeella  Busck; Dichomeris acuminatus  Staudinger; Evippe evippella  Forbes,species,accepted,https://www.catalogueoflife.org/data/taxon/65BTK
Aesculus,Holophysis emblemella  Clemens,genus,accepted,https://www.catalogueoflife.org/data/taxon/PTB
Ageratum,Dichomeris nr. aenigmatica  Clarke,genus,accepted,https://www.catalogueoflife.org/data/taxon/QPF
Ageratum houstonianum,Anarsia bipinnata  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/65RYZ
Agrimonia,Anacampsis agrimoniella  Clemens,genus,accepted,https://www.catalogueoflife.org/data/taxon/QXS
Agrimonia eupatoria,Anacampsis agrimoniella  Clemens,species,accepted,https://www.catalogueoflife.org/data/taxon/B7GN
Agrimonia gryposepala,Anacampsis agrimoniella  Clemens,species,accepted,https://www.catalogueoflife.org/data/taxon/B7GX
Agropyron repens,Helcystogramma lutatella  Herrich-SchÃ¤ffer,species,accepted,https://www.catalogueoflife.org/data/taxon/6F6PV
Albizia,Anarsia amegarta  Meyrick; Mesophleps palpigera  Walsingham,genus,accepted,https://www.catalogueoflife.org/data/taxon/9CJNC
Albizia lebbeck,Bucolarcha geodes  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/BG7V
Albizia saman,Anarsia   ,species,accepted,https://www.catalogueoflife.org/data/taxon/6XGBZ
Alcea,Pexicopia malvella  Hubner,genus,accepted,https://www.catalogueoflife.org/data/taxon/RKM
Alcea rosea,Pectinophora gossypiella  Saunders; Pexicopia malvella  Hubner; Platyedra subcinerea  Haworth,species,accepted,https://www.catalogueoflife.org/data/taxon/BH8Y
Alchornea ilicifolia,Dichomeris mesoctenis  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/5TVWQ
Alnus,Anacampsis innocuella  Zeller; Anacampsis niveopulvella  Chambers; Coleotechnites alnifructella  Busck; Hypatima rhomboidella  Linnaeus; Pseudotelphusa belangerella  Chambers,genus,accepted,https://www.catalogueoflife.org/data/taxon/8VTM3
Alnus glutinosa,Teleiodes proximella  Hubner,species,accepted,https://www.catalogueoflife.org/data/taxon/5FHWT
Althaea,Pexicopia malvella  Hubner,genus,accepted,https://www.catalogueoflife.org/data/taxon/SZ9
Althaea nudiflora,Platyedra subcinerea  Haworth,species,accepted,https://www.catalogueoflife.org/data/taxon/BH8M
Althaea officinalis,Pexicopia malvella  Hubner; Platyedra subcinerea  Haworth,species,accepted,https://www.catalogueoflife.org/data/taxon/5TY3W
Ambrosia,Chionodes mediofuscella  Clemens; Dichomeris juncidella  Clemens; Gnorimoschema washingtoniella  Busck; Helcystogramma chambersella  Murtfeldt,genus,accepted,https://www.catalogueoflife.org/data/taxon/TLT
Ambrosia artemisiifolia,Dichomeris juncidella  Clemens; Dichomeris washingtoniella  Busck; Helcystogramma chambersella  Murtfeldt,species,accepted,https://www.catalogueoflife.org/data/taxon/5TZQZ
Ambrosia psilostachya,Helcystogramma chambersella  Murtfeldt,species,accepted,https://www.catalogueoflife.org/data/taxon/CPQ6
Ambrosia tenuifolia,Helcystogramma chambersella  Murtfeldt,species,accepted,https://www.catalogueoflife.org/data/taxon/CPQF
Ambrosia trifida,Chionodes mediofuscella  Clemens; Dichomeris juncidella  Clemens; Gnorimoschema ambrosiaeella  Chambers,species,accepted,https://www.catalogueoflife.org/data/taxon/CPQH
Amelanchier alnifolia,Aristotelia amelanchierella  Braun; Filatima frugalis  Braun,species,accepted,https://www.catalogueoflife.org/data/taxon/CQMS
Amelanchier canadensis,Pseudotelphusa amelanchierella  Braun,species,accepted,https://www.catalogueoflife.org/data/taxon/CQNY
Ammannia,Aristotelia articulata  Meyrick; Aristotelia palamota  Meyrick,genus,accepted,https://www.catalogueoflife.org/data/taxon/TVR
Ammodendron eichwaldii,Anarsia halimodendri  Christoph,species,accepted,https://www.catalogueoflife.org/data/taxon/66BMJ
Amorpha fruticosa,Filatima ornatifimbriella  Clemens; Sinoe robiniella  Fitch,species,accepted,https://www.catalogueoflife.org/data/taxon/CX4J
Ampelopsis,Monochroa absconditella  Walker,genus,accepted,https://www.catalogueoflife.org/data/taxon/629VT
